KEY ID	S.Chinese
LocalButton	本地
OnlineButton	在线
HowToPlayButton	玩法说明
FreePlayButton	自由模式
PublicHeader	公开
PrivateHeader	私人
HostHeader	主持
ExitButton	退出
BackButton	返回
AvailableGamesLabel	可加入的游戏
CreateGameButton	创建游戏
FindGameButton	搜索游戏
EnterCode	输入代码
GhostIgnoreTasks	您已经死了，爽快地隔岸观火吧。
GhostDoTasks	您已经死了，完成您的任务来获胜。
TotalTasksCompleted	已完成任务总数
GhostImpostor	您已经死了，但还可以搞破坏。
ImpostorTask	进行破坏，将所有人杀死。
FakeTasks	假任务：
TaskComplete	任务完成！
ExileTextSP	{0} 是伪装者。
ExileTextSN	{0} 不是伪装者。
ExileTextPP	{0} 是伪装者之一。
ExileTextPN	{0} 不是伪装者之一。
NoExileSkip	没有人被驱逐。(跳过)
NoExileTie	没有人被驱逐。(平局)
ExileTextNonConfirm	{0} 遭到驱逐。
ImpostorsRemainS	剩下 {0} 个伪装者。
ImpostorsRemainP	剩下 {0} 个伪装者。
Hallway	通道
Engines	引擎室
UpperEngine	上引擎室
Cafeteria	食堂
Weapons	舰载武器室
Reactor	核反应堆
Security	保安室
MedBay	医务室
LifeSupp	氧气室
Nav	导航室
LowerEngine	下引擎室
Electrical	配电室
Admin	管理室
Storage	库房
Shields	护盾室
Comms	通信室
Decontamination	去污室
Launchpad	发射台
LockerRoom	更衣室
Laboratory	实验室
Balcony	露台
Office	办公室
Greenhouse	温室
DivertPowerTo	将电力转移至{0}
AcceptDivertedPower	接受转移电力
SubmitScan	送出扫描结果
PrimeShields	开启护盾
FuelEngines	为引擎添加燃料
ChartCourse	标出航线
StartReactor	启动核反应堆
SwipeCard	刷卡
ClearAsteroids	清除小行星
DownloadData	下载数据
UploadData	上传数据
InspectSample	检查样本
EmptyChute	清空垃圾槽
EmptyGarbage	清空垃圾
AlignEngineOutput	调整引擎输出
FixWiring	修复配线
CalibrateDistributor	校准分电器
UnlockManifolds	解锁歧管
ResetReactor	核反应堆熔毁倒计时：
FixLights	修复照明
CleanO2Filter	清洁氧气过滤器
FixComms	通讯遭到破坏
RestoreOxy	氧气耗尽倒计时：
StabilizeSteering	稳定航向
AssembleArtifact	组装文物
SortSamples	将样本分类
MeasureWeather	测量气候
EnterIdCode	输入识别码
BuyBeverage	购买饮品
ProcessData	处理数据
NumImpostorsS	我们当中有 <color=#FF1919FF>1 个伪装者</color>
NumImpostorsP	我们当中有 <color=#FF1919FF>{0} 名伪装者</color>
Crewmate	船员
Impostor	伪装者
Victory	胜利
Defeat	失败
CrewmatesDisconnected	大部分船员\n已断线
ImpostorDisconnected	伪装者已断线
PickAnomaly	找出异常情况
WaterPlantsGetCan	取得浇花壶！
AuthOfficeOkay	办公室正常
AuthCommsOkay	通讯室正常
AuthOfficeActive	办公室已启动
AuthCommsActive	通讯室已启动
AuthOfficeNotActive	办公室未启动
AuthCommsNotActive	通讯室未启动
SecLogEntry	{0} 通过了{1}感应器
LogNorth	北侧
LogSouthEast	东南侧
LogSouthWest	西南侧
EnterName	输入名称
SwipeCardPleaseInsert	请放入卡片
SwipeCardPleaseSwipe	请刷卡
SwipeCardBadRead	读取失败。请再试一次。
SwipeCardTooFast	速度过快。请再试一次。
SwipeCardTooSlow	速度过慢。请再试一次。
SwipeCardAccepted	已接收。谢谢您。
ReactorHoldToStop	按住以阻止熔毁
ReactorWaiting	正在等待第二位用户
ReactorNominal	核反应堆正常
MeetingWhoIsTitle	谁是伪装者？
MeetingVotingBegins	距投票开始还有：{0} 秒
MeetingVotingEnds	距投票结束还有：{0} 秒
MeetingVotingResults	投票结果
MeetingProceeds	实行倒计时：{0} 秒
MeetingHasVoted	{0} 已投票。尚余 {1} 人未投票。
HowToPlayText1	《Among Us》是一个关于团队合作与背叛的游戏。\n\n玩家分别会扮演船员和伪装者。
HowToPlayText2	在线或通过区域无线网与 4 至 15 名玩家一起游玩！
HowToPlayText41	游戏的主持人可以决定游玩的方式。
HowToPlayText42	首先要决定和谁一起游玩！\n\n如果您想和好友在线游玩，设置为“私人”然后分享房间代码给好友即可。\n\n如果您想和世界各地的玩家一起游玩，就设为“公开”。
HowToPlayText43	想要加入更多任务、加快行走速度，或添加更多伪装者？作为主持人，这些设置都可更改。不过要记得先和玩家同伴们确认这些更改。
HowToPlayText44	如果有人不礼貌或滥发信息，主持人可以将玩家暂时踢出以示警告，也可以封禁玩家进入特定线上房间。
HowToPlayTextMap	玩家拥有一张属于自己的地图，以便在船上四处移动。
HowToPlayTextCrew1	目标：将团队任务计量条填满或者找出伪装者。
HowToPlayTextCrew2	完成任务来填充计量条。
HowToPlayTextCrew3	处理伪装者的破坏。
HowToPlayTextCrew4	发现伪装者时召集紧急会议。
HowToPlayTextCrew5	通报所发现的尸体。
HowToPlayTextCrew6	查看管理室地图和保安系统来寻找可疑行动。
HowToPlayTextImp1	目标：杀光船员。
HowToPlayTextImp2	混入船员之中。
HowToPlayTextImp3	经由通风口隐匿行动。
HowToPlayTextImp4	假装进行任务。
HowToPlayTextImp5	破坏飞船让船员混乱。
HowToPlayTextImp6	关门困住受害者。
HowToPlayTextImp7	在冷却的空档杀光船员。
HowToPlayText5	为了维持船员和伪装者双方的公平性，面对面游玩时不能说话。\n\n如果有玩家被伪装者杀死，该玩家在游戏结束前都不能说话。\n\n幽灵仍需继续进行自己分配到的任务，为船员阵营争取胜利。
HowToPlayText6	有人报告发现尸体或召集紧急会议时，船员们将聚在一起讨论关于伪装者的已知信息。\n\n玩家这时可以开诚布公地说出自己怀疑谁是伪装者，以及自己有什么信息。在面对面游玩时，由于幽灵已经知道谁是伪装者，所以不能说话。\n\n伪装者必须试着证明自己的无辜，或是指控其他船员。
HowToPlayText7	讨论过后，就把票投给您认为是伪装者的人。\n\n得到最多票的人会遭到驱逐离开飞船，所以要审慎投票！\n\n如果您没有足够的信息，而且其他船员也都这么认为，则可以跳过投票来避免放逐无辜组员，然后收集更多情报。
HowToPlayText81	用自由模式练习一下！
HowToPlayText82	您可以设置作为船员的任务或扮演伪装者来演练杀戮计划！
SettingsGeneral	一般
SettingsControls	操作
SettingsSound	声音
SettingsGraphics	图像
SettingsData	数据
SettingsCensorChat	聊天审查
SettingsMusic	音乐
SettingsSFX	音效
SettingsOn	开
SettingsOff	关
SettingsSendTelemetry	发送遥测
SettingsControlMode	操作模式
SettingsTouchMode	触控
SettingsJoystickMode	摇杆
SettingsKeyboardMode	鼠标与键盘
SettingsFullscreen	全屏
SettingsVSync	垂直同步
SettingsResolution	分辨率
SettingsApply	应用
SettingsPersonalizeAds	个人化广告
SettingsLanguage	语言
SettingsJoystickSize	尺寸
SettingsMouseMode	鼠标
MatchMapName	地图：
MatchLanguage	聊天：
MatchImpostors	伪装者：
MatchMaxPlayers	玩家数量上限：
Cancel	取消
Confirm	确认
PlayerColor	色彩
PlayerHat	帽子
PlayerSkin	皮肤
PlayerPet	宠物
GameSettings	游戏
GameRecommendedSettings	推荐设置
GameCustomSettings	自定义设置
GameMapName	地图
GameNumImpostors	伪装者数
GameNumMeetings	紧急会议数
GameDiscussTime	讨论时间
GameVotingTime	投票时间
GamePlayerSpeed	玩家速度
GameCrewLight	船员视野
GameImpostorLight	伪装者视野
GameKillCooldown	击杀冷却时间
GameKillDistance	击杀范围
GameCommonTasks	普通任务数
GameLongTasks	长任务数
GameShortTasks	短任务数
GameEmergencyCooldown	紧急会议冷却时间
GameSecondsAbbrev	{0} 秒
GameConfirmImpostor	驱逐后确认身份
GameVisualTasks	视觉性任务
GameAnonymousVotes	匿名投票
GameTaskBarMode	任务条更新频率
SettingNormalTaskMode	实时
SettingMeetingTaskMode	会议
SettingInvisibleTaskMode	从不
Limit	限制
RoomCode	代码
LeaveGame	离开游戏
ReturnToGame	返回游戏
LocalHelp	遇到连线问题？\n\n● 请确认全员都已连接到名称相同的 WiFI\n● 在画面左上方确认大家的版本相同\n● 确认您的 WiFi 信号强度足够\n● 有时换个人来主持能协助解决问题\n● 有时重启应用程序能协助解决问题...\n● 有时重启手机也能协助解决问题...\n● 问题还没解决怎么办？请来我们的 Discord 频道告诉我们！
OnlineHelp	如何使用？\n\n● 主持游戏时，在开始键旁边会显示一组游戏代码。\n● 与好友分享这组游戏代码来创建私人房间。\n● 也可点击“私人”将房间公开，以在“搜索游戏”检索。\n● 可聊天时，主持人可以将玩家封禁或踢出。\n● 问题还没解决怎么办？请来我们的 Discord 告诉我们！
EmergencyCount	船员 {0} 剩下\n\n\n\n次紧急会议召开次数
EmergencyNotReady	船员必须等待\n\n\n\n才能再次召开紧急会议
EmergencyDuringCrisis	发生危机时\n无法召开紧急会议
EmergencyRequested	已要求召开紧急会议\n正在等待主持人
AdPolicyTitle	广告条款
AdPolicyText	是否可让我们运用您的个人数据，为您推荐客制化广告呢？如果您点选接受，我们的广告伙伴 Google AdMob 和 Unity Ads 便会自动收集数据并使用设备识别符和 Cookie 来提供自定义广告。如果您不接受，仍可能会看到非客制化的广告。若要移除所有广告，请在[httpstore]这里[]购买无广告升级，这样每当您主持游戏时，您和朋友们就完全不会看到广告！如需详细了解我们和广告伙伴的隐私条款，请参阅我们的[https://innersloth.com/privacy.php]隐私条款[]。您可以随时在设置菜单的“数据”下更改您的决定。
Accept	接受
RemoveAds	移除广告
PlainYes	是
PlainNo	否
PrivacyPolicyTitle	隐私条款
